date,1. open,2. high,3. low,4. close,5. volume
2025-03-10 19:45:00,216.11,217.24,216.1001,217.0,332.0
2025-03-10 19:30:00,216.66,216.69,216.1,216.102,169.0
2025-03-10 19:15:00,216.68,217.25,216.1,216.99,875.0
2025-03-10 19:00:00,216.66,217.25,216.66,216.68,1013326.0
2025-03-10 18:45:00,217.24,217.25,216.68,216.95,176.0
2025-03-10 18:30:00,216.66,217.24,216.66,216.69,1013381.0
2025-03-10 18:15:00,216.72,217.25,216.68,216.68,54.0
2025-03-10 18:00:00,217.17,217.17,216.68,216.68,773.0
2025-03-10 17:45:00,216.9,217.17,216.68,217.17,147.0
2025-03-10 17:30:00,216.87,217.17,216.68,216.68,126.0
2025-03-10 17:15:00,216.7,217.1578,216.68,216.86,459.0
2025-03-10 17:00:00,216.68,217.25,216.68,216.7,2043.0
2025-03-10 16:45:00,217.25,217.25,216.68,217.24,125.0
2025-03-10 16:30:00,216.92,217.25,216.66,216.68,157.0
2025-03-10 16:15:00,216.66,218.3,216.66,216.6747,4732.0
2025-03-10 16:00:00,216.81,218.3,215.39,217.45,3480638.0
2025-03-10 15:45:00,217.3882,217.75,216.37,216.81,911787.0
2025-03-10 15:30:00,217.42,218.0,217.25,217.485,402666.0
2025-03-10 15:15:00,216.395,218.01,216.395,217.38,373391.0
2025-03-10 15:00:00,217.08,217.17,216.05,216.31,253180.0
2025-03-10 14:45:00,217.58,217.66,216.98,217.0801,202005.0
2025-03-10 14:30:00,217.745,217.88,217.0601,217.58,252940.0
2025-03-10 14:15:00,218.0625,218.15,217.661,217.745,215083.0
2025-03-10 14:00:00,218.1,218.56,217.92,218.13,207725.0
2025-03-10 13:45:00,217.94,218.28,217.785,218.1,185266.0
2025-03-10 13:30:00,217.86,218.25,217.73,217.92,134065.0
2025-03-10 13:15:00,218.29,218.49,217.72,217.78,162285.0
2025-03-10 13:00:00,218.2929,218.58,217.94,218.36,129782.0
2025-03-10 12:45:00,218.1401,218.524,218.11,218.4,141610.0
2025-03-10 12:30:00,218.22,218.66,217.89,218.195,197105.0
2025-03-10 12:15:00,217.71,218.38,217.4575,218.23,177187.0
2025-03-10 12:00:00,217.28,218.0,217.01,217.67,224326.0
2025-03-10 11:45:00,216.565,217.37,216.2,217.18,155867.0
2025-03-10 11:30:00,217.94,218.0,215.9,216.565,317975.0
2025-03-10 11:15:00,218.03,218.54,217.62,218.005,215110.0
2025-03-10 11:00:00,217.3,218.33,217.01,217.97,258369.0
2025-03-10 10:45:00,216.0317,217.62,215.75,217.3,222135.0
2025-03-10 10:30:00,216.72,216.72,215.72,216.1,246224.0
2025-03-10 10:15:00,215.77,217.54,215.77,216.85,388797.0
