date,1. open,2. high,3. low,4. close,5. volume
2025-03-10 19:45:00,335.0,335.0,332.5,334.99,20.0
2025-03-10 19:30:00,333.08,334.99,333.08,334.99,20.0
2025-03-10 19:15:00,335.0,335.14,331.16,335.14,21.0
2025-03-10 19:00:00,335.3,335.3,331.2597,331.2597,501020.0
2025-03-10 18:30:00,335.3,335.3,334.0,334.0,501023.0
2025-03-10 18:00:00,335.0,335.0,334.042,335.0,116.0
2025-03-10 17:45:00,334.0112,335.0,334.0112,335.0,38.0
2025-03-10 17:30:00,334.99,334.99,334.99,334.99,15.0
2025-03-10 17:15:00,334.5,335.0,334.5,335.0,177.0
2025-03-10 17:00:00,346.3101,346.3101,334.11,335.0,54.0
2025-03-10 16:45:00,335.3,349.1054,334.0347,349.1054,566.0
2025-03-10 16:30:00,334.47,335.3,334.11,334.81,8211.0
2025-03-10 16:15:00,335.3,335.3,334.0112,334.0302,846.0
2025-03-10 16:00:00,335.48,335.48,334.01,334.82,1758927.0
2025-03-10 15:45:00,333.97,335.64,333.8,335.48,396114.0
2025-03-10 15:30:00,334.29,335.7324,333.88,333.88,133546.0
2025-03-10 15:15:00,333.41,334.91,333.41,334.135,147731.0
2025-03-10 15:00:00,333.375,333.64,332.525,333.405,71173.0
2025-03-10 14:45:00,333.9,334.1255,333.04,333.36,59256.0
2025-03-10 14:30:00,334.55,334.97,333.46,333.91,65292.0
2025-03-10 14:15:00,335.09,335.3581,334.37,334.64,68437.0
2025-03-10 14:00:00,335.59,335.79,334.76,335.1,127028.0
2025-03-10 13:45:00,336.61,336.9699,335.4,335.4,89130.0
2025-03-10 13:30:00,337.375,337.475,336.49,336.67,57697.0
2025-03-10 13:15:00,337.36,337.78,336.79,337.375,78898.0
2025-03-10 13:00:00,337.075,337.2032,336.44,337.15,58768.0
2025-03-10 12:45:00,337.284,337.365,336.96,337.06,43879.0
2025-03-10 12:30:00,336.89,337.38,336.73,337.11,82346.0
2025-03-10 12:15:00,337.095,337.095,336.2601,336.69,48137.0
2025-03-10 12:00:00,337.045,337.2,336.56,337.07,70882.0
2025-03-10 11:45:00,336.44,337.14,336.345,336.93,45450.0
2025-03-10 11:30:00,337.3,338.0,336.18,336.345,56248.0
2025-03-10 11:15:00,338.22,338.3062,337.0,337.0646,63956.0
2025-03-10 11:00:00,337.17,338.39,336.75,338.21,210834.0
2025-03-10 10:45:00,336.885,337.5482,336.65,336.86,101074.0
2025-03-10 10:30:00,336.96,337.4039,336.36,336.7624,73059.0
2025-03-10 10:15:00,336.04,337.41,336.04,337.03,95867.0
2025-03-10 10:00:00,337.19,337.19,335.8,336.04,72108.0
2025-03-10 09:45:00,338.94,338.95,336.65,337.4824,103150.0
2025-03-10 09:30:00,338.89,339.9,334.755,339.09,268864.0
2025-03-10 09:15:00,338.9,338.9,335.0,337.24,122.0
2025-03-10 09:00:00,338.77,338.77,338.0,338.0,10.0
2025-03-10 08:45:00,338.01,338.01,337.99,338.0,152.0
2025-03-10 08:30:00,338.01,338.01,338.01,338.01,2.0
2025-03-10 08:15:00,339.97,339.97,338.63,338.77,27.0
2025-03-10 08:00:00,334.9067,342.18,334.9067,339.97,137.0
2025-03-10 07:45:00,340.47,340.47,340.47,340.47,1.0
2025-03-10 07:30:00,341.2,341.2,341.0,341.0,4.0
2025-03-10 07:00:00,341.36,341.36,341.36,341.36,1.0
2025-03-10 06:15:00,341.31,341.31,341.31,341.31,9.0
2025-03-10 06:00:00,341.42,341.42,341.42,341.42,1.0
2025-03-10 05:30:00,340.57,340.57,340.5,340.57,12.0
2025-03-10 05:15:00,340.57,340.57,340.57,340.57,30.0
2025-03-10 04:15:00,340.99,340.99,340.99,340.99,1.0
2025-03-10 04:00:00,341.68,341.68,341.49,341.49,13.0
2025-03-07 19:00:00,342.18,347.158,342.18,347.158,493745.0
2025-03-07 18:45:00,348.0,348.0,348.0,348.0,1.0
2025-03-07 18:30:00,342.18,342.18,342.18,342.18,493744.0
2025-03-07 17:15:00,342.18,342.18,342.18,342.18,574.0
2025-03-07 17:00:00,342.18,342.18,339.97,339.97,7607.0
2025-03-07 16:45:00,342.18,342.18,340.62,340.62,5617.0
2025-03-07 16:30:00,342.18,342.18,339.98,339.98,18469.0
2025-03-07 16:15:00,342.18,342.18,342.18,342.18,1411.0
2025-03-07 16:00:00,342.18,342.19,342.05,342.18,2034374.0
2025-03-07 15:45:00,340.57,342.3823,340.535,342.17,520521.0
2025-03-07 15:30:00,341.015,341.29,339.8,340.645,159696.0
2025-03-07 15:15:00,341.46,342.0,340.9,340.93,140962.0
2025-03-07 15:00:00,340.9,341.75,340.68,341.46,86333.0
2025-03-07 14:45:00,341.36,341.36,340.79,341.02,77392.0
2025-03-07 14:30:00,341.81,342.1225,341.3,341.49,104186.0
2025-03-07 14:15:00,341.18,342.545,341.18,341.72,86656.0
2025-03-07 14:00:00,342.19,342.44,340.79,341.1725,113033.0
2025-03-07 13:45:00,340.835,342.28,340.68,342.28,151550.0
2025-03-07 13:30:00,340.425,341.7,340.16,340.925,78050.0
2025-03-07 13:15:00,339.93,340.87,339.82,340.455,102175.0
2025-03-07 13:00:00,338.79,340.5175,338.655,339.925,103077.0
2025-03-07 12:45:00,339.07,340.27,338.51,338.71,130729.0
2025-03-07 12:30:00,337.29,339.105,337.12,339.105,140512.0
2025-03-07 12:15:00,336.7219,337.7,336.28,337.31,59702.0
2025-03-07 12:00:00,336.01,336.965,336.0,336.76,82290.0
2025-03-07 11:45:00,337.39,337.61,335.91,336.232,85476.0
2025-03-07 11:30:00,337.465,337.89,337.16,337.39,61084.0
2025-03-07 11:15:00,337.89,337.89,337.02,337.26,89250.0
2025-03-07 11:00:00,337.27,337.9719,336.88,337.5335,125460.0
2025-03-07 10:45:00,336.82,338.245,336.13,337.06,176433.0
2025-03-07 10:30:00,339.015,339.015,336.112,336.92,122525.0
2025-03-07 10:15:00,339.4,340.07,338.56,339.015,90490.0
2025-03-07 10:00:00,340.43,340.92,339.31,339.47,117953.0
2025-03-07 09:45:00,340.6,341.8399,340.24,340.29,138636.0
2025-03-07 09:30:00,339.0,342.89,337.7369,340.26,234153.0
2025-03-07 09:15:00,339.3912,340.0,339.35,339.39,155.0
2025-03-07 09:00:00,340.02,341.3,339.35,339.8,259.0
2025-03-07 08:45:00,341.37,341.37,339.85,340.02,1366.0
2025-03-07 08:30:00,341.0,344.35,341.0,341.42,623.0
2025-03-07 08:15:00,340.945,341.0,340.84,341.0,59.0
2025-03-07 08:00:00,341.89,341.89,340.3,341.0,80.0
2025-03-07 07:45:00,340.5,340.5,340.5,340.5,10.0
2025-03-07 07:30:00,341.91,341.91,341.5,341.5,26.0
2025-03-07 07:15:00,340.62,342.88,340.62,341.9,65.0
2025-03-07 06:45:00,340.5,341.6,340.5,341.49,33.0
2025-03-07 06:30:00,340.51,341.71,340.3,340.3,333.0
