date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS
2000-01-18,27.9759918843,32.9214282955,53.8890524371,0.795568567194,28.997042484,14.0127543429,20.1425075321,41.0437628412,17.9721068525,,67.2533690182,39.1815234919,34.5514407612,67.9788799664,31.2762832903,26.3148045401,24.2375922066,23.9166970535,30.2098193444,36.5447840076,4.82099879224,32.7946925131,,18.7077815923,6.13963473074,19.7693268982,,20.0711153161,44.2527351996,26.8311391581
2000-01-19,28.4598760227,32.3350967889,56.1831997606,0.815622344816,30.6917585225,13.8359815108,19.8335249398,41.1537014917,18.0412303404,,67.7797535823,40.0752508046,31.7697569711,70.1812194902,30.6636234805,26.4070259556,25.306094511,24.4238462923,30.5041954967,33.9111255642,5.02857883109,32.4636596888,,18.7420553907,6.19166553354,19.3924478152,,20.7161357741,43.2402412582,27.0255677027
2000-01-20,27.3999393386,32.877996332,56.034938539,0.868741893174,29.9636105668,13.2242913933,19.7342896547,41.1903477085,18.2154215299,,66.6186111614,39.382288323,30.9674608043,69.8875742203,29.2943288056,26.4963654519,25.2821982933,24.5275813638,31.1185457277,33.5941991571,4.90955357945,31.6759799043,,18.6392339957,6.34775794195,19.4530176679,,20.7161357741,42.7812440048,26.1545278228
2000-01-21,27.3452143467,32.9431442772,58.2822665295,0.851979384398,29.4416638021,13.2944393425,19.9733564779,42.2530879964,18.4919154815,,66.424817203,38.8577092482,30.0480411094,71.3558005695,30.0019508859,25.9026900894,24.8998588106,23.6631224342,30.9052296753,32.881114741,4.82671200431,28.8909692377,,17.993744127,6.07511653526,20.2101408257,,20.54458778,42.1467478015,25.4701393457
2000-01-24,26.7144368091,33.0082922224,54.0373136587,0.813249569601,28.5524211659,12.7136143227,20.0297401627,39.9810225534,17.9389275783,,63.3706244176,37.5624522732,27.963242311,71.3558005695,30.2684579032,24.1187820826,24.9203412829,22.7640851473,29.9709053656,32.0887987232,4.73149180301,27.0061640392,,18.3536190095,5.74316001338,20.2336957683,,19.899567322,40.081260161,25.9056592857
2000-01-25,26.3198408153,34.3981150528,54.1387555471,0.859174251179,29.4416638021,12.2422201037,19.9733564779,41.0804090581,18.2154215299,,65.0217489437,36.3513870017,27.8519749594,69.9580490851,31.1231183378,24.5683614833,25.4733680346,22.9427399928,30.2396835917,32.5832039183,4.65436343995,27.4281353523,,17.9251965303,5.74316001338,19.6852021029,,19.515299815,41.2625030926,29.1642816936
2000-01-26,27.7398103406,34.7021387969,50.0420638979,0.84340677717,29.763853163,12.6097953578,19.7906733394,39.2847444338,17.4357085864,,68.4092673376,37.160922611,27.8929681942,68.5661705061,29.5608358229,24.0640256171,26.7774187703,20.6029378232,31.063083554,31.4929770777,4.71339996476,28.3002093994,,18.4964265026,5.72963200465,19.432827717,,20.0711153161,41.809249821,28.4876703583
2000-01-27,27.7225287642,35.3753342304,47.8961777959,0.841952495587,29.0357052073,12.503170475,19.0148338376,39.0648671328,16.4513901188,,68.990649213,37.7243593951,27.0848158509,66.6574762522,30.0601535678,23.1994498464,27.545511481,21.6863930151,31.6262379324,31.2964827053,4.49915451181,29.28480913,,17.456787953,5.63909840777,19.6010773076,,19.9887722789,39.9125111707,28.8765274476
2000-01-28,26.5704236727,34.3763990711,46.577433246,0.777811023651,28.7586223569,12.2057431701,18.6201480445,38.0754192786,15.7435656028,,67.4402975453,36.0275727579,26.4640611525,65.5181326052,28.7950110606,24.3522175406,26.1800133286,21.1792437763,32.5861601684,31.1380195017,4.46392303733,28.2158151368,,17.1368991685,5.47572168697,19.3924478152,,19.7691908464,37.2125273269,28.5809960597
2000-01-31,26.9678999292,35.7879378832,49.6987221216,0.794114285611,28.6748531231,11.9083158653,18.8614702151,40.1276074207,15.8818125786,,71.0293616561,36.6752012454,28.109646721,65.9233630776,30.3082807908,24.8017969414,27.545511481,21.5423165268,33.5460824043,31.017587467,4.33251915952,28.4408665038,,17.2454328633,5.5152650971,20.8427592864,,19.1722038267,36.9560288618,28.2388018212
